source_order,star_grade,monster_type,monster_family,element,awakened_name,image_url,base_image_url,monster_url,awakening_essences,skill_ups,source_url
14,4,Attack,Centaur Knight,Fire,Agirus,https://summonerswarskyarena.info/wp-content/uploads/2025/10/unit_icon_0193_1_2_Agrius_2.png,https://summonerswarskyarena.info/wp-content/uploads/2025/10/unit_icon_0193_0_2_Agrius.png,https://summonerswarskyarena.info/monster/agirus-fire-centaur-knight-review/,15 5 20 10,10,https://summonerswarskyarena.info/monster-list/
15,5,Support,Justice,Fire,Agrenia,https://summonerswarskyarena.info/wp-content/uploads/2025/12/unit_icon_0202_0_2_Agrenia2.png,https://summonerswarskyarena.info/wp-content/uploads/2025/12/unit_icon_0202_0_2_Agrenia.png,https://summonerswarskyarena.info/monster/agrenia-fire-justice-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
16,3,HP,Bearman,Light,Ahman,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Ahman_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Bearman_Light_Icon.png,https://summonerswarskyarena.info/monster/ahman-light-bearman-review/,15 10 10 5,10,https://summonerswarskyarena.info/monster-list/
17,4,HP,Desert Warrior,Light,Ahmed,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0115_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0115_0_4.png,https://summonerswarskyarena.info/monster/ahmed-light-desert-warrior-review/,15 10 15 12,13,https://summonerswarskyarena.info/monster-list/
18,5,Attack,Ifrit,Wind,Akhamamir,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Akhamamir-Wind.png,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Ifrit-Wind.png,https://summonerswarskyarena.info/monster/akhamamir-wind-ifrit/,20 10 15 5,15,https://summonerswarskyarena.info/monster-list/
19,4,Attack,Succubus,Fire,Akia,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Akia_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Succubus_Fire_Icon.png,https://summonerswarskyarena.info/monster/akia-fire-succubus-review/,10 20 5 15,14,https://summonerswarskyarena.info/monster-list/
20,5,Defense,Valkyrja,Light,Akroma,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Akroma_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Valkyrja-Light-icon.png,https://summonerswarskyarena.info/monster/akroma-light-valkyrja-review/,20 10 15 5,7,https://summonerswarskyarena.info/monster-list/
21,5,HP,Unicorn,Dark,Alexandra,https://summonerswarskyarena.info/wp-content/uploads/2017/03/Alexandra_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/03/Unicorn_Dark_Icon.png,https://summonerswarskyarena.info/monster/alexandra-dark-unicorn-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
22,5,Defense,Macaron Guard,Fire,Alice,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0097_1_2.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0097_0_2.png,https://summonerswarskyarena.info/monster/alice-fire-macaron-guard-review/,5 15 10 20,11,https://summonerswarskyarena.info/monster-list/
23,5,Attack,Polar Queen,Water,Alicia,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Alicia-Water.png,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Polar-Queen-Water.png,https://summonerswarskyarena.info/monster/alicia-water-polar-queen-review/,20 10 15 5,12,https://summonerswarskyarena.info/monster-list/
24,2,HP,Vagabond,Water,Allen,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Allen_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Vagabond_Water_Icon.png,https://summonerswarskyarena.info/monster/allen-water-vagabond-review/,5 10 10 15,13,https://summonerswarskyarena.info/monster-list/
25,5,Attack,Altaïr,Light,Altaïr,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0111_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0111_1_4.png,https://summonerswarskyarena.info/monster/altair-light-altair-review/,,10,https://summonerswarskyarena.info/monster-list/
26,3,Attack,Magical Archer,Fire,Amanda,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Cassandra_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Magical_Archer_Fire_Icon.png,https://summonerswarskyarena.info/monster/cassandra-fire-magical-archer-review/,20 5 15 5,15,https://summonerswarskyarena.info/monster-list/
27,4,Support,Anubis,Light,Amarna,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Amarna-Light.png,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Anubis-Light.png,https://summonerswarskyarena.info/monster/amarna-light-anubis-review/,12 15 7 15,12,https://summonerswarskyarena.info/monster-list/
28,5,Attack,Battle Angel,Water,Amber,https://summonerswarskyarena.info/wp-content/uploads/2022/07/unit_icon_0087_1_1.png,https://summonerswarskyarena.info/wp-content/uploads/2022/07/unit_icon_0087_0_1.png,https://summonerswarskyarena.info/monster/amber-water-battle-angel-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
29,4,Support,Horus,Dark,Amduat,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Amduat-Dark.png,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Horus-Dark.png,https://summonerswarskyarena.info/monster/amduat-dark-horus-review/,12 15 7 15,11,https://summonerswarskyarena.info/monster-list/
30,5,HP,Unicorn,Water,Amelia,https://summonerswarskyarena.info/wp-content/uploads/2017/03/Amelia_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/03/Unicorn_Water_Icon.png,https://summonerswarskyarena.info/monster/amelia-water-unicorn-review/,20 10 15 5,12,https://summonerswarskyarena.info/monster-list/
31,5,Support,Occult Girl,Water,Anavel,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Anavel_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Occult_Girl_Water_Icon.png,https://summonerswarskyarena.info/monster/anavel-water-occult-girl/,20 10 15 5,13,https://summonerswarskyarena.info/monster-list/
32,5,Attack,Magic Order Guardian,Water,Anders,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0150_1_1_anders2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0150_0_1_anders.png,https://summonerswarskyarena.info/monster/anders-water-magic-order-guardian-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
33,3,Attack,Inferno,Wind,Anduril,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Anduril_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Inferno_Wind_Icon.png,https://summonerswarskyarena.info/monster/anduril-wind-inferno-review/,15 10 10 5,12,https://summonerswarskyarena.info/monster-list/
34,5,Support,Pudding Princess,Wind,Angela,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0099_1_3.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0099_0_3.png,https://summonerswarskyarena.info/monster/angela-wind-pudding-princess-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
35,3,Attack,Cow Girl,Fire,Anne,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Anne-Fire.png,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Cow-Girl-Fire.png,https://summonerswarskyarena.info/monster/anne-fire-cow-girl-review/,15 10 10 5,14,https://summonerswarskyarena.info/monster-list/
36,4,Attack,Lich,Fire,Antares,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Antares_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Lich_Fire_Icon.png,https://summonerswarskyarena.info/monster/antares-fire-lich-review/,10 20 5 15,9,https://summonerswarskyarena.info/monster-list/
37,3,Attack,Charger Shark,Water,Aqcus,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Aqcus-Water.png,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Charger-Shark-Water.png,https://summonerswarskyarena.info/monster/aqcus-water-charger-shark-review/,15 10 10 5,9,https://summonerswarskyarena.info/monster-list/
38,4,Attack,Brownie Magician,Wind,Aquila,https://summonerswarskyarena.info/wp-content/uploads/2014/12/Aquila-Wind.png,https://summonerswarskyarena.info/wp-content/uploads/2014/12/Brownie-Magician-Wind.png,https://summonerswarskyarena.info/monster/aquila-wind-brownie-magician-review/,10 20 5 15,9,https://summonerswarskyarena.info/monster-list/
39,5,HP,Aragorn,Water,Aragorn,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_1_Aragorn.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_1_Aragorn.png,https://summonerswarskyarena.info/monster/aragorn-water-aragorn-review/,,10,https://summonerswarskyarena.info/monster-list/
40,5,HP,Aragorn,Fire,Aragorn,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_2_Aragorn.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_2_Aragorn.png,https://summonerswarskyarena.info/monster/aragorn-fire-aragorn-review/,,8,https://summonerswarskyarena.info/monster-list/
41,4,HP,Aragorn,Wind,Aragorn,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_3_Aragorn.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_3_Aragorn.png,https://summonerswarskyarena.info/monster/aragorn-wind-aragorn-review/,,11,https://summonerswarskyarena.info/monster-list/
42,4,HP,Aragorn,Light,Aragorn,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_4_Aragorn.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_4_Aragorn.png,https://summonerswarskyarena.info/monster/aragorn-light-aragorn-review/,,8,https://summonerswarskyarena.info/monster-list/
43,5,HP,Aragorn,Dark,Aragorn,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_5_Aragorn.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0206_1_5_Aragorn.png,https://summonerswarskyarena.info/monster/aragorn-dark-aragorn-review/,,11,https://summonerswarskyarena.info/monster-list/
44,4,Attack,Nine-tailed Fox,Wind,Arang,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Arang_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Nine-tailed_Fox_Wind_Icon.png,https://summonerswarskyarena.info/monster/arang-wind-nine-tailed-fox-review/,10 20 5 15,12,https://summonerswarskyarena.info/monster-list/
45,4,Support,Magic Order Enchantress,Light,Arcana,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0152_1_4_arcana2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0152_0_4_arcana.png,https://summonerswarskyarena.info/monster/arcana-light-magic-order-enchantress-review/,12 15 10 15,11,https://summonerswarskyarena.info/monster-list/
46,3,Attack,Magical Archer,Wind,Ardella,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Ardella_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Magical_Archer_Wind_Icon.png,https://summonerswarskyarena.info/monster/ardella-wind-magical-archer-review/,20 5 15 5,10,https://summonerswarskyarena.info/monster-list/
47,5,Support,Justice,Light,Arella,https://summonerswarskyarena.info/wp-content/uploads/2025/12/unit_icon_0202_0_4_Arella2.png,https://summonerswarskyarena.info/wp-content/uploads/2025/12/unit_icon_0202_0_4_Arella.png,https://summonerswarskyarena.info/monster/arella-light-justice-review/,20 10 15 5,9,https://summonerswarskyarena.info/monster-list/
48,4,Attack,Vampire,Wind,Argen,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Argen_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Vampire_Wind_Icon.png,https://summonerswarskyarena.info/monster/argen-wind-vampire-review/,12 15 10 15,13,https://summonerswarskyarena.info/monster-list/
49,4,Attack,Succubus,Light,Aria,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Aria_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Succubus_Light_Icon.png,https://summonerswarskyarena.info/monster/aria-light-succubus-review/,10 20 5 15,14,https://summonerswarskyarena.info/monster-list/
50,5,Support,Pudding Princess,Light,Ariana,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0099_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0099_0_4.png,https://summonerswarskyarena.info/monster/ariana-light-pudding-princess-review/,5 15 10 20,11,https://summonerswarskyarena.info/monster-list/
51,5,Support,Archangel,Water,Ariel,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Ariel_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Archangel_Water_Icon.png,https://summonerswarskyarena.info/monster/ariel-water-archangel-review/,20 10 15 5,9,https://summonerswarskyarena.info/monster-list/
52,2,Defense,Yeti,Light,Arkajan,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Arkajan_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/03/unit_icon_0001_3_1.png,https://summonerswarskyarena.info/monster/arkajan-light-yeti-review/,1 15 20,12,https://summonerswarskyarena.info/monster-list/
53,4,HP,Death Knight,Fire,Arnold,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Arnold_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Death_Knight_Fire_Icon.png,https://summonerswarskyarena.info/monster/arnold-fire-death-knight/,10 20 5 15,12,https://summonerswarskyarena.info/monster-list/
54,5,Support,Archangel,Light,Artamiel,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Artamiel_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Archangel_Light_Icon.png,https://summonerswarskyarena.info/monster/artamiel-light-archangel-review/,20 10 15 5,6,https://summonerswarskyarena.info/monster-list/
55,4,Attack,Centaur Knight,Dark,Asbolus,https://summonerswarskyarena.info/wp-content/uploads/2025/10/unit_icon_0193_1_5_Asbolus_2.png,https://summonerswarskyarena.info/wp-content/uploads/2025/10/unit_icon_0193_0_5_Asbolus.png,https://summonerswarskyarena.info/monster/asbolus-dark-centaur-knight-review/,5 15 10 20,12,https://summonerswarskyarena.info/monster-list/
56,4,Attack,Sylph,Dark,Aschubel,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Aschubel_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Sylph_Dark_Icon.png,https://summonerswarskyarena.info/monster/aschubel-dark-sylph-review/,10 20 5 15,8,https://summonerswarskyarena.info/monster-list/
57,5,HP,Desert Warrior,Fire,Ashour,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0115_1_2.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0115_0_2.png,https://summonerswarskyarena.info/monster/ashour-fire-desert-warrior-review/,15 10 15 12,13,https://summonerswarskyarena.info/monster-list/
58,5,Attack,Hell Lady,Light,Asima,https://summonerswarskyarena.info/wp-content/uploads/2014/12/Asima-Light.png,https://summonerswarskyarena.info/wp-content/uploads/2014/12/Hell-Lady-Light.png,https://summonerswarskyarena.info/monster/asima-light-hell-lady-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
59,4,Attack,Magic Knight,Fire,Astar,https://summonerswarskyarena.info/wp-content/uploads/2015/07/Astar-Fire.png,https://summonerswarskyarena.info/wp-content/uploads/2015/07/Magic-Knight-Fire.png,https://summonerswarskyarena.info/monster/astar-fire-magic-knight/,10 20 5 15,9,https://summonerswarskyarena.info/monster-list/
60,4,Support,Mercenary Queen,Wind,Astrid,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0117_1_3.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0117_0_3.png,https://summonerswarskyarena.info/monster/astrid-wind-mercenary-queen-review/,15 10 15 12,13,https://summonerswarskyarena.info/monster-list/
61,4,Support,Undine,Fire,Atenai,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Atenai_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Undine_Fire_Icon.png,https://summonerswarskyarena.info/monster/atenai-fire-undine-review/,10 20 5 15,11,https://summonerswarskyarena.info/monster-list/
62,5,Defense,Macaron Guard,Light,Audrey,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0097_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0097_0_4.png,https://summonerswarskyarena.info/monster/audrey-light-macaron-guard-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
63,4,Support,Gladiatrix,Light,Aurelia,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0116_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0116_0_4.png,https://summonerswarskyarena.info/monster/aurelia-light-gladiatrix-review/,15 10 15 12,12,https://summonerswarskyarena.info/monster-list/
64,4,Attack,Anubis,Water,Avaris,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Avaris-Water.png,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Anubis-Water.png,https://summonerswarskyarena.info/monster/avaris-water-anubis-review/,12 15 7 15,9,https://summonerswarskyarena.info/monster-list/
65,5,HP,Exorcist Association Hunter,Wind,Aya,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0164_1_3_aya.png,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0164_1_3_aya.png,https://summonerswarskyarena.info/monster/aya-wind-exorcist-association-hunter-review/,,10,https://summonerswarskyarena.info/monster-list/
66,4,Attack,Azure Dragon Swordsman,Water,Azure Dragon Swordsman,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanWa.png,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanWa.png,https://summonerswarskyarena.info/monster/azure-dragon-swordsman-water-azure-dragon-swordsman-review/,,11,https://summonerswarskyarena.info/monster-list/
67,5,Attack,Azure Dragon Swordsman,Fire,Azure Dragon Swordsman,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanF.png,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanF.png,https://summonerswarskyarena.info/monster/azure-dragon-swordsman-fire-azure-dragon-swordsman-review/,,10,https://summonerswarskyarena.info/monster-list/
68,5,Attack,Azure Dragon Swordsman,Wind,Azure Dragon Swordsman,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanWi.png,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanWi.png,https://summonerswarskyarena.info/monster/azure-dragon-swordsman-wind-azure-dragon-swordsman-review/,,10,https://summonerswarskyarena.info/monster-list/
69,5,Attack,Azure Dragon Swordsman,Light,Azure Dragon Swordsman,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanL.png,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanL.png,https://summonerswarskyarena.info/monster/azure-dragon-swordsman-light-azure-dragon-swordsman-review/,,10,https://summonerswarskyarena.info/monster-list/
70,4,Attack,Azure Dragon Swordsman,Dark,Azure Dragon Swordsman,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanD.png,https://summonerswarskyarena.info/wp-content/uploads/2025/05/unit_icon_0179_1_1_Azure-Dragon-SwordsmanD.png,https://summonerswarskyarena.info/monster/azure-dragon-swordsman-dark-azure-dragon-swordsman-review/,,11,https://summonerswarskyarena.info/monster-list/
71,3,Attack,Beast Hunter,Light,Baekdu,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Baekdu_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Beast_Hunter_Light_Icon.png,https://summonerswarskyarena.info/monster/baekdu-light-beast-hunter-review/,15 10 10 5,13,https://summonerswarskyarena.info/monster-list/
72,5,Attack,Demon,Fire,Bael,https://summonerswarskyarena.info/wp-content/uploads/2019/08/bael.png,https://summonerswarskyarena.info/wp-content/uploads/2019/08/fire-demon.png,https://summonerswarskyarena.info/monster/bael-fire-demon-review/,5 15 10 20,13,https://summonerswarskyarena.info/monster-list/
73,3,Defense,Giant Warrior,Water,Bagir,https://summonerswarskyarena.info/wp-content/uploads/2018/10/Bagir_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/10/Giant_Warror_Water_Icon.png,https://summonerswarskyarena.info/monster/bagir-water-giant-warrior-review/,20 5 15 5,14,https://summonerswarskyarena.info/monster-list/
74,4,Attack,Boomerang Warrior,Light,Bailey,https://summonerswarskyarena.info/wp-content/uploads/2018/03/bailey.png,https://summonerswarskyarena.info/wp-content/uploads/2018/03/light-boomerang-warrior.png,https://summonerswarskyarena.info/monster/bailey-light-boomerang-warrior-review/,15 5 20 10,11,https://summonerswarskyarena.info/monster-list/
75,5,Attack,Lightning Emperor,Fire,Baleygr,https://summonerswarskyarena.info/wp-content/uploads/2018/10/Baleygr_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/10/Lightning_Emperor_Fire_Icon.png,https://summonerswarskyarena.info/monster/baleygr-fire-lightning-emperor-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
76,5,Attack,Beast Rider,Water,Barbara,https://summonerswarskyarena.info/wp-content/uploads/2019/12/unit_icon_0054_0_0.png,https://summonerswarskyarena.info/wp-content/uploads/2019/12/unit_icon_0053_0_4.png,https://summonerswarskyarena.info/monster/barbara-water-beast-rider-review/,5 15 10 20,13,https://summonerswarskyarena.info/monster-list/
77,4,Attack,Sylph,Fire,Baretta,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Baretta_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Sylph_Fire_Icon.png,https://summonerswarskyarena.info/monster/baretta-fire-sylph-review/,10 20 5 15,10,https://summonerswarskyarena.info/monster-list/
78,4,Attack,Pirate Captain,Wind,Barque,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Barque-Wind.png,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Pirate-Captain-Wind.png,https://summonerswarskyarena.info/monster/barque-wind-pirate-captain-review/,10 20 5 15,10,https://summonerswarskyarena.info/monster-list/
79,3,Defense,Battle Mammoth,Dark,Basalt,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Basalt-Dark.png,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Battle-Mammoth-Dark.png,https://summonerswarskyarena.info/monster/basalt-dark-battle-mammoth-review/,15 10 10 5,13,https://summonerswarskyarena.info/monster-list/
80,5,Support,Desert Queen,Water,Bastet,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Bastet-Water.png,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Desert-Queen-Water.png,https://summonerswarskyarena.info/monster/bastet-water-desert-queen-review/,20 10 15 5,12,https://summonerswarskyarena.info/monster-list/
